x,alpha_deg_0,alpha_deg_8,alpha_deg_16,alpha_deg_24
3.6534,0.00131613,0.00137134,0.00148073,0.00167079
3.656,0.00131404,0.00136917,0.00147883,0.00166917
3.6587,0.00131198,0.00136704,0.00147696,0.00166757
3.6592,0.00131157,0.00136662,0.00147659,0.00166726
3.8271,0.00117902,0.00123032,0.00135926,0.00156551
3.8678,0.00114696,0.00119802,0.00133275,0.00154154
3.8753,0.00114106,0.00119214,0.00132797,0.00153717
3.9436,0.00108829,0.00114184,0.00128621,0.00149831
4.0079,0.00104052,0.00110157,0.00124925,0.00146354
4.0769,0.00099261,0.00106086,0.0012117,0.00142839
4.1027,0.00097593,0.00104581,0.00119811,0.00141581
4.1874,0.00092613,0.00099701,0.00115506,0.00137691
4.2167,0.00091025,0.00098027,0.00114061,0.00136428
4.2966,0.00086863,0.00093546,0.00110234,0.00133235
4.364,0.00083312,0.00089971,0.00107135,0.00130798
4.4169,0.00080556,0.00087358,0.00104803,0.00128991
4.4205,0.00080371,0.00087186,0.00104648,0.00128869
4.4816,0.00077393,0.00084412,0.00102161,0.00126864
4.6146,0.00071896,0.00079122,0.00097646,0.00122808
4.6348,0.00071166,0.00078409,0.00097056,0.00122237
4.7409,0.00067635,0.00075061,0.00094227,0.00119493
4.7586,0.00067089,0.00074559,0.00093793,0.00119089
4.8746,0.00063695,0.00071442,0.00091141,0.00116873
4.9571,0.00061474,0.00069353,0.00089455,0.00115718
5.0861,0.0005832,0.00066496,0.00087169,0.00114352
5.1576,0.00056771,0.00065138,0.00086102,0.00113694
5.3177,0.00053913,0.0006256,0.00084196,0.00112388
5.3196,0.00053883,0.00062533,0.00084177,0.00112374
5.4968,0.00051335,0.00060209,0.00082616,0.00111181
5.5418,0.00050691,0.00059674,0.00082268,0.00110913
5.7303,0.00047795,0.00057592,0.00080874,0.00109908
5.9174,0.00045143,0.00055717,0.00079522,0.00109071
6.1476,0.00042825,0.00053602,0.00078365,0.00108221
6.152,0.00042788,0.00053563,0.00078348,0.00108206
6.1524,0.00042784,0.0005356,0.00078346,0.00108205
6.3499,0.00041171,0.00051893,0.00077633,0.00107605
6.9878,0.00035945,0.00047394,0.00075472,0.00106122
6.9891,0.00035935,0.00047387,0.00075467,0.00106119
6.9954,0.00035885,0.00047349,0.00075444,0.00106107
6.9983,0.00035862,0.00047331,0.00075432,0.00106101
7.6651,0.00030909,0.00043846,0.00072575,0.00104978
7.824,0.0002987,0.00043136,0.00071908,0.00104717
7.8246,0.00029865,0.00043133,0.00071905,0.00104716
7.8258,0.00029858,0.00043128,0.00071901,0.00104714
8.3209,0.00027083,0.00041101,0.00070149,0.00103991
8.6529,0.00025512,0.00039876,0.00069156,0.00103653
8.6567,0.00025495,0.00039862,0.00069145,0.00103649
8.665,0.00025457,0.00039832,0.00069121,0.00103642
9.1581,0.00023352,0.00038191,0.00067825,0.00103216
9.4825,0.00022098,0.00037207,0.00067189,0.00102899
9.4855,0.00022086,0.00037198,0.00067184,0.00102896
9.4895,0.00022072,0.00037186,0.00067178,0.00102892
9.9429,0.000205,0.00035963,0.00066631,0.00102192
10.3218,0.00019347,0.00035238,0.00066143,0.0010128
10.3245,0.00019339,0.00035234,0.00066139,0.00101273
10.3314,0.0001932,0.00035225,0.00066127,0.00101255
10.7495,0.00018231,0.00034872,0.00065278,0.001001
11.1574,0.00017362,0.00034729,0.00064569,0.00098973
11.1591,0.00017359,0.00034728,0.00064567,0.00098968
11.162,0.00017353,0.00034727,0.00064564,0.0009896
11.5166,0.00016748,0.00034546,0.00064394,0.00097754
11.9886,0.00016063,0.00034222,0.00064583,0.00094831
11.9921,0.00016058,0.0003422,0.00064585,0.00094804
11.9991,0.00016048,0.00034215,0.00064589,0.0009475
11.9992,0.00016048,0.00034215,0.00064589,0.00094749
