x,Mach_2,Mach_3,Mach_4,Mach_6,Mach_8,Mach_10
-0.0058,-0.00091,0.00024,0.00181,0.00011,0.00042,0.00012
0.0095,-0.0012,6e-05,0.00169,5e-05,0.00039,0.00011
0.0249,-0.00149,-0.00011,0.00156,-6e-06,0.00036,0.00011
0.0355,-0.00169,-0.00023,0.00148,-5e-05,0.00034,0.0001
0.0453,-0.00188,-0.00035,0.0014,-8e-05,0.00032,0.0001
0.0873,-0.00267,-0.00083,0.00105,-0.00025,0.00024,8e-05
1.9837,-0.03933,-0.0236,-0.01497,-0.00733,-0.00341,-0.0007
1.9875,-0.0394,-0.02365,-0.015,-0.00734,-0.00341,-0.00071
1.998,-0.03962,-0.02379,-0.0151,-0.00738,-0.00344,-0.00071
2.0195,-0.04005,-0.02407,-0.01529,-0.00745,-0.00348,-0.00072
4.004,-0.08319,-0.05192,-0.03423,-0.01452,-0.00752,-0.00172
4.0154,-0.08345,-0.05208,-0.03435,-0.01456,-0.00755,-0.00172
4.0154,-0.08345,-0.05208,-0.03435,-0.01456,-0.00755,-0.00172
4.016,-0.08347,-0.05209,-0.03435,-0.01456,-0.00755,-0.00172
4.0492,-0.08423,-0.05257,-0.03468,-0.0147,-0.00762,-0.00174
6.003,-0.13026,-0.08006,-0.05375,-0.02454,-0.01292,-0.00334
6.0061,-0.13033,-0.0801,-0.05378,-0.02456,-0.01293,-0.00334
6.0104,-0.13043,-0.08016,-0.05382,-0.02459,-0.01294,-0.00335
6.0235,-0.13073,-0.08035,-0.05394,-0.02467,-0.01298,-0.00336
6.0304,-0.13089,-0.08045,-0.05401,-0.02471,-0.013,-0.00337
6.0392,-0.1311,-0.08057,-0.05409,-0.02477,-0.01303,-0.00338
8.0009,-0.17599,-0.10905,-0.07315,-0.03921,-0.0203,-0.00975
8.0057,-0.1761,-0.10912,-0.0732,-0.03925,-0.02032,-0.00977
8.0086,-0.17617,-0.10917,-0.07323,-0.03927,-0.02033,-0.00979
8.016,-0.17634,-0.10928,-0.0733,-0.03933,-0.02037,-0.00982
8.0198,-0.17643,-0.10933,-0.07334,-0.03936,-0.02039,-0.00984
8.0488,-0.1771,-0.10977,-0.07364,-0.03959,-0.02053,-0.00999
9.949,-0.22372,-0.13959,-0.09438,-0.05471,-0.03231,-0.01836
9.97,-0.22424,-0.13993,-0.09462,-0.05487,-0.03247,-0.01846
9.9838,-0.22459,-0.14015,-0.09477,-0.05498,-0.03257,-0.01852
10.0043,-0.2251,-0.14048,-0.09501,-0.05514,-0.03271,-0.01862
10.0086,-0.22521,-0.14055,-0.09506,-0.05517,-0.03274,-0.01864
10.0386,-0.22596,-0.14103,-0.0954,-0.0554,-0.03296,-0.01878
11.9349,-0.27334,-0.17212,-0.1182,-0.07108,-0.04792,-0.03136
11.9569,-0.27389,-0.17248,-0.11848,-0.0713,-0.04811,-0.03156
11.9652,-0.2741,-0.17262,-0.11859,-0.07138,-0.04818,-0.03163
11.9838,-0.27456,-0.17294,-0.11883,-0.07156,-0.04834,-0.03179
11.9917,-0.27476,-0.17307,-0.11894,-0.07164,-0.04841,-0.03186
13.91,-0.32224,-0.20549,-0.14564,-0.09352,-0.06745,-0.0515
13.9325,-0.32279,-0.20587,-0.14596,-0.09379,-0.06771,-0.05176
13.9516,-0.32326,-0.20619,-0.14623,-0.09402,-0.06793,-0.05197
13.9759,-0.32386,-0.2066,-0.14658,-0.09431,-0.06822,-0.05225
13.9779,-0.32391,-0.20663,-0.14661,-0.09433,-0.06824,-0.05227
14.0065,-0.32461,-0.20712,-0.14702,-0.09467,-0.06857,-0.0526
15.9151,-0.37105,-0.24009,-0.17515,-0.11833,-0.09336,-0.07603
15.9469,-0.37183,-0.24068,-0.17566,-0.11876,-0.09379,-0.07645
15.9627,-0.37222,-0.24097,-0.17591,-0.11898,-0.09401,-0.07666
15.9705,-0.37241,-0.24112,-0.17604,-0.11908,-0.09411,-0.07676
15.9867,-0.37281,-0.24142,-0.17629,-0.11931,-0.09433,-0.07698
17.0186,-0.39872,-0.26143,-0.19376,-0.13465,-0.10855,-0.09129
17.9395,-0.42341,-0.28009,-0.21035,-0.14997,-0.12228,-0.10508
17.9559,-0.42386,-0.28042,-0.21065,-0.15025,-0.12254,-0.10534
17.9632,-0.42406,-0.28057,-0.21079,-0.15038,-0.12265,-0.10545
17.9715,-0.42429,-0.28074,-0.21094,-0.15052,-0.12278,-0.10558
17.9772,-0.42445,-0.28086,-0.21104,-0.15062,-0.12287,-0.10567
19.446,-0.46499,-0.31175,-0.23835,-0.17714,-0.14833,-0.13007
19.9621,-0.47886,-0.32349,-0.24847,-0.1871,-0.15799,-0.13938
19.9745,-0.47919,-0.32379,-0.24872,-0.18734,-0.15823,-0.13961
20.0001,-0.47987,-0.32439,-0.24924,-0.18785,-0.15871,-0.14008
20.0104,-0.48015,-0.32463,-0.24945,-0.18805,-0.15891,-0.14027
20.0301,-0.48067,-0.3251,-0.24984,-0.18844,-0.15928,-0.14063
21.8638,-0.52896,-0.37158,-0.28976,-0.22688,-0.19541,-0.17667
21.8724,-0.52918,-0.37179,-0.28995,-0.22707,-0.19558,-0.17684
21.9528,-0.53132,-0.37383,-0.29179,-0.22887,-0.19726,-0.17852
21.9634,-0.5316,-0.3741,-0.29204,-0.2291,-0.19748,-0.17874
21.9659,-0.53167,-0.37416,-0.2921,-0.22916,-0.19753,-0.1788
21.9712,-0.53181,-0.3743,-0.29222,-0.22928,-0.19764,-0.17891
23.4324,-0.57227,-0.4096,-0.32623,-0.26361,-0.22988,-0.211
23.4493,-0.57275,-0.41,-0.32662,-0.26402,-0.23027,-0.21139
23.4943,-0.57404,-0.41106,-0.32768,-0.26511,-0.2313,-0.2124
23.4966,-0.57411,-0.41111,-0.32773,-0.26516,-0.23135,-0.21246
23.5159,-0.57466,-0.41157,-0.32819,-0.26563,-0.23179,-0.21289
23.5195,-0.57476,-0.41165,-0.32827,-0.26572,-0.23187,-0.21298
