x,alpha_p_dele_0,alpha_p_dele_8,alpha_p_dele_16,alpha_p_dele_24
1.9731,-0.0161532,-0.0166543,-0.0180563,-0.0201806
1.9811,-0.0160749,-0.0165972,-0.0179964,-0.020127
1.9879,-0.0160087,-0.0165488,-0.0179459,-0.0200816
2.011,-0.0157823,-0.0163832,-0.0177729,-0.0199264
2.1012,-0.0148929,-0.0157073,-0.0170589,-0.0193245
2.1217,-0.014686,-0.0155371,-0.016882,-0.019189
2.1293,-0.0146088,-0.0154714,-0.0168158,-0.0191394
2.2025,-0.0138715,-0.0147452,-0.0161763,-0.0186643
2.2179,-0.0137306,-0.0145888,-0.0160481,-0.0185665
2.2321,-0.0136041,-0.0144501,-0.015933,-0.0184768
2.2342,-0.0135861,-0.0144306,-0.0159167,-0.0184639
2.3736,-0.0124934,-0.013356,-0.0149654,-0.017659
2.3748,-0.0124853,-0.0133483,-0.0149582,-0.0176528
2.3801,-0.01245,-0.0133141,-0.0149267,-0.0176254
2.4285,-0.0121509,-0.0130132,-0.0146478,-0.0173854
2.54,-0.0115475,-0.0123595,-0.0140755,-0.0168939
2.5563,-0.0114585,-0.0122646,-0.0140003,-0.0168277
2.5626,-0.0114239,-0.0122277,-0.0139718,-0.0168024
2.7234,-0.0105644,-0.0113327,-0.013309,-0.0162093
2.7388,-0.0104888,-0.0112585,-0.0132476,-0.0161577
2.762,-0.0103778,-0.0111509,-0.0131537,-0.0160815
2.7745,-0.0103198,-0.0110951,-0.0131024,-0.0160414
2.9729,-0.0095105,-0.0103211,-0.0124033,-0.0154746
2.9787,-0.0094889,-0.0103005,-0.0123868,-0.0154596
2.9918,-0.0094403,-0.0102545,-0.0123502,-0.0154258
3.078,-0.0091267,-0.0099626,-0.0121203,-0.0152107
3.2328,-0.0085883,-0.0094862,-0.0117345,-0.0148805
3.2513,-0.0085273,-0.0094324,-0.0116895,-0.014847
3.3941,-0.0080906,-0.0090366,-0.0113481,-0.014626
3.4073,-0.0080533,-0.0090018,-0.011317,-0.0146082
3.5711,-0.0076237,-0.0085893,-0.0109556,-0.0144052
3.5877,-0.0075832,-0.0085496,-0.0109244,-0.0143859
3.74,-0.0072371,-0.0082052,-0.0106846,-0.014219
3.8745,-0.0069637,-0.0079299,-0.0105108,-0.0140899
3.9856,-0.0067576,-0.0077257,-0.0103787,-0.0139982
4.0115,-0.0067116,-0.0076817,-0.010349,-0.0139788
4.3188,-0.0062056,-0.0072556,-0.0100225,-0.0137912
4.4349,-0.0060269,-0.007121,-0.0099152,-0.0137345
4.445,-0.0060114,-0.0071094,-0.0099064,-0.0137298
4.4862,-0.0059489,-0.0070624,-0.009872,-0.0137112
4.785,-0.00552,-0.0067377,-0.0096671,-0.013594
4.9635,-0.0052978,-0.0065672,-0.009558,-0.0135364
4.9704,-0.0052898,-0.0065611,-0.0095539,-0.0135343
4.9954,-0.0052613,-0.0065394,-0.009539,-0.0135267
5.4065,-0.0048422,-0.0062367,-0.0093126,-0.0134086
5.5057,-0.004748,-0.006172,-0.0092684,-0.01338
5.5163,-0.004738,-0.0061651,-0.0092641,-0.0133769
5.5735,-0.0046836,-0.0061276,-0.0092423,-0.0133598
5.9632,-0.0043329,-0.0058847,-0.0091318,-0.0132445
5.9653,-0.0043312,-0.0058835,-0.0091313,-0.013244
5.9704,-0.0043271,-0.0058806,-0.00913,-0.0132428
5.976,-0.0043226,-0.0058774,-0.0091285,-0.0132416
6.466,-0.0039759,-0.0056146,-0.0089986,-0.0131497
6.4966,-0.003956,-0.0055992,-0.0089903,-0.0131438
6.5674,-0.0039103,-0.0055643,-0.0089712,-0.0131294
6.9682,-0.0036593,-0.0053814,-0.0088618,-0.0130325
6.973,-0.0036563,-0.0053791,-0.0088605,-0.0130313
6.9753,-0.0036549,-0.005378,-0.0088599,-0.0130307
6.9884,-0.0036468,-0.0053718,-0.0088563,-0.0130275
7.5081,-0.0033354,-0.0051265,-0.0087147,-0.0129017
7.5105,-0.003334,-0.0051255,-0.008714,-0.0129011
7.9826,-0.0031028,-0.004976,-0.0085961,-0.012782
7.9863,-0.0031013,-0.004975,-0.0085953,-0.0127811
7.9938,-0.0030981,-0.004973,-0.0085936,-0.0127791
7.9978,-0.0030965,-0.004972,-0.0085926,-0.012778
8.4917,-0.0029016,-0.0048427,-0.0084895,-0.0126421
8.5893,-0.002863,-0.0048187,-0.008471,-0.0126142
9.0007,-0.002699,-0.0047094,-0.0083977,-0.0124962
9.0043,-0.0026977,-0.0047084,-0.008397,-0.0124952
9.0073,-0.0026967,-0.0047075,-0.0083965,-0.0124944
9.0121,-0.002695,-0.0047062,-0.0083957,-0.012493
9.5902,-0.002511,-0.0045369,-0.0082957,-0.0123306
9.9878,-0.0023797,-0.0044292,-0.0082157,-0.0122142
9.9958,-0.002377,-0.0044272,-0.0082139,-0.0122118
9.9996,-0.0023758,-0.0044262,-0.008213,-0.0122106
10.0016,-0.0023751,-0.0044257,-0.0082126,-0.01221
10.7292,-0.0021599,-0.0042729,-0.0080308,-0.0119616
10.9833,-0.0021025,-0.0042304,-0.0079674,-0.0118585
10.9886,-0.0021013,-0.0042296,-0.0079661,-0.0118562
11.0024,-0.0020985,-0.0042274,-0.0079628,-0.0118503
11.566,-0.0019946,-0.0041417,-0.0078388,-0.0115883
11.9944,-0.0019295,-0.0040802,-0.0077532,-0.0113737
11.9974,-0.0019291,-0.0040798,-0.0077526,-0.0113722
12.0017,-0.0019285,-0.0040792,-0.0077518,-0.01137
12.0066,-0.0019279,-0.0040785,-0.0077508,-0.0113675
